key,north_weight,east_weight,south_weight,west_weight
"(34.956522,125.153846)",0,0,6,0
"(35.000000,125.153846)",0,0,5,0
"(35.043478,125.153846)",0,3,6,0
"(35.086957,125.153846)",3,0,3,0
"(35.130435,125.153846)",4,2,4,0
"(35.173913,125.153846)",5,3,2,0
"(35.217391,125.153846)",3,3,2,0
"(35.260870,125.153846)",4,2,2,0
"(35.304348,125.153846)",4,2,1,0
"(35.347826,125.153846)",4,0,1,0
"(35.391304,125.153846)",5,0,1,0
"(35.434783,125.153846)",3,0,1,0
"(35.478261,125.153846)",2,0,1,0
"(35.521739,125.153846)",1,0,0,0
"(35.565217,125.153846)",1,0,0,0
"(35.608696,125.153846)",1,0,0,0
"(35.652174,125.153846)",2,0,0,0
"(35.695652,125.153846)",1,0,0,0
"(35.739130,125.153846)",0,0,0,0
"(35.782609,125.153846)",0,0,0,0
"(35.826087,125.153846)",0,0,1,0
"(35.869565,125.153846)",0,0,1,0
"(35.913043,125.153846)",0,0,1,0
"(35.956522,125.153846)",0,0,1,0
"(32.000000,125.205128)",14,0,1,0
"(32.043478,125.205128)",13,0,5,0
"(32.086957,125.205128)",4,1,0,0
"(32.130435,125.205128)",1,0,1,0
"(32.173913,125.205128)",11,0,1,0
"(32.217391,125.205128)",4,7,6,0
"(32.260870,125.205128)",3,0,4,0
"(32.304348,125.205128)",5,0,3,0
"(32.347826,125.205128)",2,0,1,0
"(32.391304,125.205128)",4,0,3,0
"(32.434783,125.205128)",2,0,2,0
"(32.478261,125.205128)",1,0,0,0
"(32.521739,125.205128)",2,0,0,0
"(32.565217,125.205128)",2,0,0,0
"(32.608696,125.205128)",0,0,0,0
"(32.652174,125.205128)",0,0,0,0
"(32.695652,125.205128)",1,0,0,0
"(32.739130,125.205128)",2,0,2,0
"(32.782609,125.205128)",5,0,1,0
"(32.826087,125.205128)",4,1,0,0
"(32.869565,125.205128)",2,1,4,0
"(32.913043,125.205128)",2,1,1,0
"(32.956522,125.205128)",0,0,3,0
"(33.000000,125.205128)",1,0,1,0
"(33.043478,125.205128)",1,0,0,0
"(33.086957,125.205128)",0,1,0,1
"(33.130435,125.205128)",0,0,0,0
"(33.173913,125.205128)",8,0,3,0
"(33.217391,125.205128)",3,2,8,0
"(33.260870,125.205128)",6,0,1,0
"(33.304348,125.205128)",4,0,2,0
"(33.347826,125.205128)",1,0,0,0
"(33.391304,125.205128)",5,0,1,0
"(33.434783,125.205128)",3,3,1,0
"(33.478261,125.205128)",2,2,0,0
"(33.521739,125.205128)",1,1,0,0
"(33.565217,125.205128)",0,1,2,0
"(33.608696,125.205128)",1,2,0,0
"(33.652174,125.205128)",1,1,0,0
"(33.695652,125.205128)",0,1,0,0
"(33.739130,125.205128)",4,2,0,0
"(33.782609,125.205128)",3,1,0,0
"(33.826087,125.205128)",1,0,0,0
"(33.869565,125.205128)",1,1,0,0
"(33.913043,125.205128)",2,2,0,0
"(33.956522,125.205128)",7,1,1,0
"(34.000000,125.205128)",3,3,0,0
"(34.043478,125.205128)",11,1,5,0
"(34.086957,125.205128)",6,2,5,0
"(34.130435,125.205128)",5,1,1,0
"(34.173913,125.205128)",7,4,0,0
"(34.217391,125.205128)",7,5,0,0
"(34.260870,125.205128)",4,2,0,0
"(34.304348,125.205128)",4,0,0,0
"(34.347826,125.205128)",4,0,2,0
"(34.391304,125.205128)",5,0,0,0
"(34.434783,125.205128)",1,0,0,0
"(34.478261,125.205128)",0,0,1,0
"(34.521739,125.205128)",2,0,1,0
"(34.565217,125.205128)",1,0,1,0
"(34.608696,125.205128)",1,1,1,0
"(34.652174,125.205128)",3,0,4,0
"(34.695652,125.205128)",2,5,0,0
"(34.739130,125.205128)",6,4,1,0
"(34.782609,125.205128)",5,3,2,0
"(34.826087,125.205128)",4,1,0,0
"(34.869565,125.205128)",3,0,0,0
"(34.913043,125.205128)",3,0,0,0
"(34.956522,125.205128)",2,0,1,0
"(35.000000,125.205128)",1,0,2,0
"(35.043478,125.205128)",0,3,7,0
"(35.086957,125.205128)",1,2,4,0
"(35.130435,125.205128)",1,3,5,0
