key,north_weight,east_weight,south_weight,west_weight
"(32.000000,125.000000)",9,0,0,0
"(32.043478,125.000000)",3,0,0,0
"(32.086957,125.000000)",1,0,0,0
"(32.130435,125.000000)",1,0,0,0
"(32.173913,125.000000)",0,0,0,0
"(32.217391,125.000000)",1,0,0,0
"(32.260870,125.000000)",0,0,0,0
"(32.304348,125.000000)",1,0,1,0
"(32.347826,125.000000)",0,0,0,0
"(32.391304,125.000000)",0,0,0,0
"(32.434783,125.000000)",1,0,0,0
"(32.478261,125.000000)",1,0,0,0
"(32.521739,125.000000)",0,0,0,0
"(32.565217,125.000000)",0,0,0,0
"(32.608696,125.000000)",1,0,0,0
"(32.652174,125.000000)",2,0,0,0
"(32.695652,125.000000)",1,1,0,0
"(32.739130,125.000000)",1,1,0,0
"(32.782609,125.000000)",1,0,0,0
"(32.826087,125.000000)",1,1,2,0
"(32.869565,125.000000)",0,2,0,0
"(32.913043,125.000000)",0,3,0,0
"(32.956522,125.000000)",0,2,1,0
"(33.000000,125.000000)",2,1,1,0
"(33.043478,125.000000)",0,0,0,0
"(33.086957,125.000000)",1,0,0,0
"(33.130435,125.000000)",1,0,0,0
"(33.173913,125.000000)",1,0,1,0
"(33.217391,125.000000)",2,1,0,0
"(33.260870,125.000000)",0,1,1,0
"(33.304348,125.000000)",0,2,0,0
"(33.347826,125.000000)",1,2,1,0
"(33.391304,125.000000)",1,1,0,0
"(33.434783,125.000000)",0,2,0,0
"(33.478261,125.000000)",3,1,0,0
"(33.521739,125.000000)",2,1,0,0
"(33.565217,125.000000)",2,0,0,0
"(33.608696,125.000000)",1,0,0,0
"(33.652174,125.000000)",3,1,0,0
"(33.695652,125.000000)",1,1,0,0
"(33.739130,125.000000)",4,3,0,0
"(33.782609,125.000000)",5,7,1,0
"(33.826087,125.000000)",2,3,3,0
"(33.869565,125.000000)",2,2,0,0
"(33.913043,125.000000)",4,5,0,0
"(33.956522,125.000000)",4,5,0,0
"(34.000000,125.000000)",5,3,0,0
"(34.043478,125.000000)",0,0,0,0
"(34.086957,125.000000)",0,0,2,0
"(34.130435,125.000000)",1,0,2,0
"(34.173913,125.000000)",2,1,2,0
"(34.217391,125.000000)",8,3,3,0
"(34.260870,125.000000)",2,7,3,0
"(34.304348,125.000000)",1,2,1,0
"(34.347826,125.000000)",4,2,1,0
"(34.391304,125.000000)",8,3,1,0
"(34.434783,125.000000)",4,2,1,0
"(34.478261,125.000000)",4,3,1,0
"(34.521739,125.000000)",6,4,1,0
"(34.565217,125.000000)",10,6,2,0
"(34.608696,125.000000)",6,8,2,0
"(34.652174,125.000000)",4,3,1,0
"(34.695652,125.000000)",2,1,0,0
"(34.739130,125.000000)",2,0,2,0
"(34.782609,125.000000)",1,0,3,0
"(34.826087,125.000000)",1,0,2,0
"(34.869565,125.000000)",1,0,1,0
"(34.913043,125.000000)",0,1,1,0
"(34.956522,125.000000)",2,1,2,0
"(35.000000,125.000000)",2,3,1,0
"(35.043478,125.000000)",3,3,2,0
"(35.086957,125.000000)",2,1,1,0
"(35.130435,125.000000)",2,1,0,0
"(35.173913,125.000000)",2,1,0,0
"(35.217391,125.000000)",2,1,0,0
"(35.260870,125.000000)",0,0,1,0
"(35.304348,125.000000)",0,0,1,0
"(35.347826,125.000000)",0,0,0,0
"(35.391304,125.000000)",0,1,0,0
"(35.434783,125.000000)",0,2,0,0
"(35.478261,125.000000)",0,1,0,0
"(35.521739,125.000000)",0,0,0,0
"(35.565217,125.000000)",0,0,0,0
"(35.608696,125.000000)",0,0,0,0
"(35.652174,125.000000)",0,0,0,0
"(35.695652,125.000000)",0,0,0,0
"(35.739130,125.000000)",0,0,0,0
"(35.782609,125.000000)",0,0,1,0
"(35.826087,125.000000)",0,0,1,0
"(35.869565,125.000000)",0,0,0,0
"(35.913043,125.000000)",0,0,0,0
"(35.956522,125.000000)",0,0,0,0
"(32.000000,125.051282)",29,0,0,1
"(32.043478,125.051282)",5,8,12,0
"(32.086957,125.051282)",0,0,0,0
"(32.130435,125.051282)",1,0,0,0
"(32.173913,125.051282)",1,0,2,0
"(32.217391,125.051282)",1,0,2,0
"(32.260870,125.051282)",1,0,0,0
"(32.304348,125.051282)",1,0,1,0
"(32.347826,125.051282)",1,0,1,0
"(32.391304,125.051282)",0,0,0,0
"(32.434783,125.051282)",0,0,0,0
"(32.478261,125.051282)",0,0,0,0
"(32.521739,125.051282)",0,0,0,0
"(32.565217,125.051282)",0,0,0,0
"(32.608696,125.051282)",1,0,0,0
"(32.652174,125.051282)",2,1,0,0
"(32.695652,125.051282)",2,1,2,0
"(32.739130,125.051282)",2,0,3,0
"(32.782609,125.051282)",2,0,0,0
"(32.826087,125.051282)",1,1,5,0
"(32.869565,125.051282)",1,2,3,0
"(32.913043,125.051282)",0,4,0,0
"(32.956522,125.051282)",3,3,1,0
"(33.000000,125.051282)",3,1,2,0
"(33.043478,125.051282)",1,0,0,0
"(33.086957,125.051282)",2,0,0,0
"(33.130435,125.051282)",0,2,0,0
"(33.173913,125.051282)",1,2,1,0
"(33.217391,125.051282)",2,3,1,0
"(33.260870,125.051282)",0,2,0,0
"(33.304348,125.051282)",0,1,0,0
"(33.347826,125.051282)",0,0,1,0
"(33.391304,125.051282)",1,1,1,0
"(33.434783,125.051282)",2,1,1,0
"(33.478261,125.051282)",4,1,0,0
"(33.521739,125.051282)",0,1,0,0
"(33.565217,125.051282)",4,1,0,0
"(33.608696,125.051282)",4,1,0,0
"(33.652174,125.051282)",5,1,0,0
"(33.695652,125.051282)",2,1,0,0
"(33.739130,125.051282)",8,3,2,0
"(33.782609,125.051282)",7,6,0,0
"(33.826087,125.051282)",6,2,1,0
"(33.869565,125.051282)",4,2,1,0
"(33.913043,125.051282)",6,5,3,0
"(33.956522,125.051282)",5,4,1,0
"(34.000000,125.051282)",5,4,1,0
"(34.043478,125.051282)",10,7,0,0
"(34.086957,125.051282)",7,0,1,0
"(34.130435,125.051282)",3,1,0,0
"(34.173913,125.051282)",1,3,2,0
"(34.217391,125.051282)",4,3,1,0
"(34.260870,125.051282)",4,1,0,0
"(34.304348,125.051282)",7,7,0,0
"(34.347826,125.051282)",7,5,1,0
"(34.391304,125.051282)",4,6,0,0
"(34.434783,125.051282)",1,4,2,0
"(34.478261,125.051282)",2,4,2,0
"(34.521739,125.051282)",3,2,2,0
"(34.565217,125.051282)",15,3,1,0
"(34.608696,125.051282)",5,12,5,0
"(34.652174,125.051282)",6,2,2,0
"(34.695652,125.051282)",5,1,3,0
"(34.739130,125.051282)",4,1,3,0
"(34.782609,125.051282)",2,1,4,0
"(34.826087,125.051282)",1,1,3,0
"(34.869565,125.051282)",2,1,4,0
"(34.913043,125.051282)",3,3,3,0
"(34.956522,125.051282)",5,2,2,0
"(35.000000,125.051282)",3,2,0,0
"(35.043478,125.051282)",3,0,1,0
"(35.086957,125.051282)",2,0,2,0
"(35.130435,125.051282)",3,0,2,0
"(35.173913,125.051282)",2,0,1,0
"(35.217391,125.051282)",3,0,1,0
"(35.260870,125.051282)",1,0,0,0
"(35.304348,125.051282)",1,0,1,0
"(35.347826,125.051282)",0,2,1,0
"(35.391304,125.051282)",0,2,0,0
"(35.434783,125.051282)",0,1,0,0
"(35.478261,125.051282)",0,0,0,0
"(35.521739,125.051282)",0,0,0,0
"(35.565217,125.051282)",0,0,0,0
"(35.608696,125.051282)",0,0,0,0
"(35.652174,125.051282)",0,0,0,0
"(35.695652,125.051282)",0,0,0,0
"(35.739130,125.051282)",0,0,0,0
"(35.782609,125.051282)",0,0,0,0
"(35.826087,125.051282)",0,0,1,0
"(35.869565,125.051282)",0,0,1,0
"(35.913043,125.051282)",0,0,1,0
"(35.956522,125.051282)",0,0,1,0
"(32.000000,125.102564)",6,0,0,0
"(32.043478,125.102564)",8,0,0,0
"(32.086957,125.102564)",2,0,0,0
"(32.130435,125.102564)",0,0,0,0
"(32.173913,125.102564)",1,0,0,0
"(32.217391,125.102564)",0,0,2,0
"(32.260870,125.102564)",1,0,0,0
"(32.304348,125.102564)",1,0,0,0
"(32.347826,125.102564)",0,0,1,0
"(32.391304,125.102564)",0,0,0,0
"(32.434783,125.102564)",0,0,0,0
"(32.478261,125.102564)",0,0,0,0
"(32.521739,125.102564)",0,0,0,0
"(32.565217,125.102564)",0,0,0,0
"(32.608696,125.102564)",0,1,0,0
"(32.652174,125.102564)",1,1,1,0
"(32.695652,125.102564)",2,0,0,0
"(32.739130,125.102564)",3,0,3,0
"(32.782609,125.102564)",4,0,3,0
"(32.826087,125.102564)",4,0,4,0
"(32.869565,125.102564)",1,1,5,0
"(32.913043,125.102564)",3,1,0,0
"(32.956522,125.102564)",3,1,1,0
"(33.000000,125.102564)",1,2,2,0
