key,north_weight,east_weight,south_weight,west_weight
"(32.000000,124.000000)",0,0,0,0
"(32.043478,124.000000)",0,0,0,0
"(32.086957,124.000000)",0,0,0,0
"(32.130435,124.000000)",0,0,0,0
"(32.173913,124.000000)",0,0,0,0
"(32.217391,124.000000)",0,0,0,0
"(32.260870,124.000000)",0,0,0,0
"(32.304348,124.000000)",0,0,0,0
"(32.347826,124.000000)",0,0,0,0
"(32.391304,124.000000)",0,0,0,0
"(32.434783,124.000000)",0,0,0,0
"(32.478261,124.000000)",0,0,0,0
"(32.521739,124.000000)",0,0,0,0
"(32.565217,124.000000)",0,0,0,0
"(32.608696,124.000000)",0,0,0,0
"(32.652174,124.000000)",0,0,0,0
"(32.695652,124.000000)",0,0,0,0
"(32.739130,124.000000)",0,0,0,0
"(32.782609,124.000000)",0,0,0,0
"(32.826087,124.000000)",0,0,0,0
"(32.869565,124.000000)",0,0,0,0
"(32.913043,124.000000)",0,0,0,0
"(32.956522,124.000000)",0,0,0,0
"(33.000000,124.000000)",0,0,0,0
"(33.043478,124.000000)",0,0,0,0
"(33.086957,124.000000)",0,0,0,0
"(33.130435,124.000000)",0,0,0,0
"(33.173913,124.000000)",0,0,0,0
"(33.217391,124.000000)",0,0,0,0
"(33.260870,124.000000)",0,0,0,0
"(33.304348,124.000000)",0,0,0,0
"(33.347826,124.000000)",1,0,0,0
"(33.391304,124.000000)",0,1,0,0
"(33.434783,124.000000)",1,2,0,0
"(33.478261,124.000000)",0,1,0,0
"(33.521739,124.000000)",0,1,1,0
"(33.565217,124.000000)",0,1,1,0
"(33.608696,124.000000)",0,2,1,0
"(33.652174,124.000000)",0,1,2,0
"(33.695652,124.000000)",0,0,2,0
"(33.739130,124.000000)",0,0,3,0
"(33.782609,124.000000)",0,0,3,0
"(33.826087,124.000000)",0,0,2,0
"(33.869565,124.000000)",0,0,2,0
"(33.913043,124.000000)",0,2,1,0
"(33.956522,124.000000)",0,1,1,0
"(34.000000,124.000000)",0,2,1,0
"(34.043478,124.000000)",1,2,1,0
"(34.086957,124.000000)",0,1,1,0
"(34.130435,124.000000)",0,1,1,0
"(34.173913,124.000000)",0,1,1,0
"(34.217391,124.000000)",0,1,1,0
"(34.260870,124.000000)",0,1,1,0
"(34.304348,124.000000)",0,0,1,0
"(34.347826,124.000000)",1,3,0,0
"(34.391304,124.000000)",0,1,1,0
"(34.434783,124.000000)",0,0,1,0
"(34.478261,124.000000)",0,1,1,0
"(34.521739,124.000000)",0,2,0,0
"(34.565217,124.000000)",0,1,0,0
"(34.608696,124.000000)",0,0,0,0
"(34.652174,124.000000)",0,0,0,0
"(34.695652,124.000000)",0,0,0,0
"(34.739130,124.000000)",0,0,0,0
"(34.782609,124.000000)",0,0,0,0
"(34.826087,124.000000)",0,0,0,0
"(34.869565,124.000000)",0,0,0,0
"(34.913043,124.000000)",0,0,0,0
"(34.956522,124.000000)",0,0,0,0
"(35.000000,124.000000)",0,0,0,0
"(35.043478,124.000000)",0,0,0,0
"(35.086957,124.000000)",0,0,0,0
"(35.130435,124.000000)",0,0,0,0
"(35.173913,124.000000)",0,0,0,0
"(35.217391,124.000000)",0,0,0,0
"(35.260870,124.000000)",0,0,0,0
"(35.304348,124.000000)",0,0,0,0
"(35.347826,124.000000)",0,0,0,0
"(35.391304,124.000000)",0,0,0,0
"(35.434783,124.000000)",0,0,0,0
"(35.478261,124.000000)",0,0,0,0
"(35.521739,124.000000)",0,0,0,0
"(35.565217,124.000000)",0,0,0,0
"(35.608696,124.000000)",0,0,0,0
"(35.652174,124.000000)",0,0,0,0
"(35.695652,124.000000)",0,0,0,0
"(35.739130,124.000000)",0,0,0,0
"(35.782609,124.000000)",0,0,0,0
"(35.826087,124.000000)",0,0,0,0
"(35.869565,124.000000)",0,0,0,0
"(35.913043,124.000000)",0,0,0,0
"(35.956522,124.000000)",0,0,0,0
"(36.000000,124.000000)",0,0,0,0
"(36.043478,124.000000)",0,0,0,0
"(36.086957,124.000000)",0,0,0,0
"(36.130435,124.000000)",0,0,0,0
"(36.173913,124.000000)",0,0,0,0
"(36.217391,124.000000)",0,0,0,0
"(36.260870,124.000000)",0,0,0,0
